module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,鼠标移动 + MOUSE_MODE_CAPTURED → rotate_y(-dx·0.002) / camera.rotation.x clamp(±1.25),Godot/three_d/scripts/player.gd:45-47,accepted,yes,-,-,-,none,reachable_unmapped,★玩家可达且写入 world.checkpoint_state 的 look（camera.rotation）与 player（transform）字段。目录无对应 ID；既有测试只直接赋值 rotation/look_at，无一处走真实 InputEventMouseMotion。应补：注入 InputEventMouseMotion 后断言 player.rotation.y 改变、camera.rotation.x 被 clamp 到 ±LOOK_PITCH_LIMIT（当前仅 world_restore_atomic_test.gd:56-59 在 restore 侧断言边界）。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,focused 无效 → 不发出 interaction_requested（准星未命中不交互）,Godot/three_d/scripts/player.gd:50-51,rejected,yes,-,-,-,none,reachable_unmapped,玩家可达（准星未对准任何 anchor 时按 E），后继为『无任何请求』。与 world.raycast_unfocused（request_action 侧守卫）不同语义，目录未登记。
player,Godot/three_d/scripts/player.gd,_physics_process,53,controls_enabled → 取 WASD 输入向量；否则 Vector2.ZERO；随后 move_and_slide(),Godot/three_d/scripts/player.gd:56-60,accepted,yes,-,Godot/three_d/tests/smoke.gd::Walking moves player but cannot pass through wall,-,weak,reachable_unmapped,★移动改变 checkpoint_state().player（权威快照字段）。目录无 ID（连续输入非离散转移）。smoke.gd:81-88 是全仓唯一走真实 Input.action_press 的行走断言（断言 x 区间=不可穿墙），spatial_interaction_test.gd:26-35 walk_to 亦走真实输入，但两者都属弱/位置区间证据。
world,Godot/three_d/scripts/world.gd,_notification,621,NOTIFICATION_WM_CLOSE_REQUEST 且 readiness → saving_enabled 时 save_checkpoint()，然后 quit(),Godot/three_d/scripts/world.gd:622-625,accepted,yes,-,-,-,none,reachable_unmapped,★生命周期回调（类型：生命周期回调）。玩家可达（关窗）且改状态（退出前写盘）。目录无 ID，无测试注入该通知。应补：在 saving_enabled 时投递 WM_CLOSE_REQUEST，断言 checkpoint 与内存一致（--test 下 auto_accept_quit=false，见 :104）。
world,Godot/three_d/scripts/world.gd,_notification,621,WM_WINDOW_FOCUS_OUT 且 readiness 且 run_panel 不可见 且非 --test → saving_enabled 时 save_checkpoint()，关闭服务面板，未暂停则 pause_game(),Godot/three_d/scripts/world.gd:626-632,accepted,yes,-,-,-,none,reachable_unmapped,★生命周期回调。玩家可达（切出窗口/Alt-Tab）且改变权威状态（paused、controls_enabled、services_panel）。目录无 ID，无测试。应补：投递 WINDOW_FOCUS_OUT 后断言 paused==true、player.controls_enabled==false、services_panel.visible==false。
world,Godot/three_d/scripts/world.gd,start_table,634,not seated / table_game!=null / paused → return,Godot/three_d/scripts/world.gd:635-636,rejected,yes,-,Godot/three_d/tests/table_integration.gd::Repeated start cannot charge twice,output/3d/table-integration.json,weak,reachable_unmapped,★世界侧守卫（table_game!=null 由 table_integration.gd:29-30 覆盖：重复 start 不二次扣款）；not seated 与 paused 两个合取项无断言。规则层入场语义在 run.gd::enter_table（table/poker 家族目录覆盖），但 world 侧守卫无 world.* ID。
world,Godot/three_d/scripts/world.gd,start_table,634,入场成功 → trace、refresh_economy、table_delay=0.45、refresh_table,Godot/three_d/scripts/world.gd:642-645,accepted,yes,-,Godot/three_d/tests/table_integration.gd::Starting table pays buy-in once,output/3d/table-integration.json,strong,reachable_unmapped,后继：run 现金按 buyIn 扣减、table_game 非空（规则层由 poker/table 家族覆盖；world 侧 table_delay 计时与 HUD 刷新无 world.* ID）。
world,Godot/three_d/scripts/world.gd,play_action,647,paused / services_panel.visible / table_game==null / table_delay>0 → return,Godot/three_d/scripts/world.gd:648-649,rejected,yes,-,Godot/three_d/tests/table_integration.gd::Pause freezes timer and blocks player input,output/3d/table-integration.json,strong,reachable_unmapped,★services_panel.visible 与 paused 由 table_integration.gd:37-39 与 services_save_test.gd:96-98 断言（revision 不变）；table_delay>0 由 table_integration.gd:58-60『Double click during beat is ignored』断言。三个合取项均无 world.* ID。
world,Godot/three_d/scripts/world.gd,play_action,647,table_game.act 成功 → trace、table_delay=0.45、refresh_table,Godot/three_d/scripts/world.gd:653-656,accepted,yes,-,Godot/three_d/tests/table_integration.gd::HUD button submits exactly one legal action,output/3d/table-integration.json,strong,reachable_unmapped,后继为表格 revision+1（规则层 poker_action.* 覆盖）；world 侧节拍与 HUD 刷新无 ID。
world,Godot/three_d/scripts/world.gd,continue_hand,658,not paused 且 not services_panel.visible 且 table_game!=null 且 next_hand 成功 → trace、table_delay、refresh_table,Godot/three_d/scripts/world.gd:658-662,accepted,yes,-,-,output/3d/table-integration.json,weak,reachable_unmapped,★玩家可达（牌桌『下一手』按钮，world.gd:383 connect）。守卫的否定侧（paused / services 可见 / 无桌 / revision 过期）无世界侧断言，且整段无 world.* ID。（注：证据来自 output/3d/table-integration.json，该测试整表通过、无独立用例名。）
world,Godot/three_d/scripts/world.gd,_process,664,services_panel.visible → return（服务面板打开时冻结牌桌推进）,Godot/three_d/scripts/world.gd:670-671,rejected,yes,-,Godot/three_d/tests/services_save_test.gd::Services freeze table progression and hidden buttons,-,weak,reachable_unmapped,测试只断言 play_action 被忽略（revision 不变），未断言 AI beat / _process 推进被冻结（需对手回合的前置）。目录无 ID。
world,Godot/three_d/scripts/world.gd,_process,664,table_game==null 或 paused 或 not seated → return,Godot/three_d/scripts/world.gd:672-673,rejected,yes,-,Godot/three_d/tests/table_integration.gd::Pause freezes timer and blocks player input,output/3d/table-integration.json,strong,reachable_unmapped,paused 侧由 table_integration.gd:37-39 断言（world._process(10) 后 table.revision 不变）。
world,Godot/three_d/scripts/world.gd,_process,664,否则 advance_table_beat()（对手 AI 或无人行动 → 推进牌桌权威状态）,Godot/three_d/scripts/world.gd:681-681,accepted,yes,-,-,-,none,reachable_unmapped,★游戏调度可达且改权威状态（table_game.advance/act → 快照内 table 变更）。规则层由 poker_progress.* / ending.* 覆盖，但 world 侧的定时世界入口无 world.* ID，world_coverage_test 也未以『推进后状态』断言。
world,Godot/three_d/scripts/world.gd,advance_table_beat,683,services_panel.visible / table_game==null / paused / status!='playing' → return,Godot/three_d/scripts/world.gd:684-685,rejected,yes,-,-,-,none,reachable_unmapped,与 _process 守卫同族；无 world.* ID。services_save_test.gd:96-98 覆盖 services 可见时不推进。
world,Godot/three_d/scripts/world.gd,advance_table_beat,683,currentActorId 为空 → table_game.advance(revision),Godot/three_d/scripts/world.gd:687-688,accepted,yes,-,-,output/3d/table-integration.json,weak,reachable_unmapped,规则层 poker_progress.* 覆盖 advance 的接受/拒绝；world 侧无 ID。（注：证据来自 output/3d/table-integration.json，该测试整表通过、无独立用例名。）
world,Godot/three_d/scripts/world.gd,advance_table_beat,683,"currentActorId!=player → OpponentRules.choose + table_game.act(actor,…)",Godot/three_d/scripts/world.gd:690-692,accepted,yes,-,-,output/3d/table-integration.json,weak,reachable_unmapped,依赖 table_game.rng.next() 随机决策，后继是表格状态推进；无确定性断言，无 world.* ID。（注：证据来自 output/3d/table-integration.json，该测试整表通过、无独立用例名。）
world,Godot/three_d/scripts/world.gd,check_pressure,1047,run_game.enforce_pressure() 为真 →（服务面板可见时先关闭）+ travel('stash'),Godot/three_d/scripts/world.gd:1047-1051,accepted,yes,-,Godot/three_d/tests/routes_items_test.gd::Forced loss explains why no exit was available,-,weak,reachable_unmapped,★公开入口且玩家可达（经 leave_seat:584 触发；service_action:945 侧独立判为不可达）。既有 world.leave_forced_pressure_exit 只绑定 leave_seat 前置；『服务面板关闭 + travel』组合无 world.* ID。routes_items_test.gd:162-167 直接调用本函数并断言房间/forced/金库文案（未走服务面板分支）。
